CRAMP ,,Coral Reef Assessment and Monitoring Program and Maui Division of Aquatic Resources,,,,,,,,
Archived in August 2011 with NODC,,,,,,,,,,
CD,Year,Island,Site,Date,Code,Depth (m),,,,
1,2010,O‘ahu,Ala Wai,3/8/2010,08OaAla03m,3,no CSV,,,
1,2008,O‘ahu,Moku o Lo‘e,5/1/2008,"08OaMok02m,08m","2, 8",,,,
1,2008,Kaua‘i,Hanalei,9/16/2008,08KaHan03m,3,,,,
1,2008,Kaua‘i,Hanalei,9/16/2008,08KaHan08m,8,,,,
1,2008,Kaua‘i,Limahuli,9/18/2008,08KaLim10m,10,,,,
2,2008,Maui,Honolua North,10/20/2008,08MaHoN03m,3,,,,
2,2008,Maui,Honolua South,10/20/2008,08MaHoS03m,3,,,,
2,2008,Maui,Kanahena Bay,7/31/2008,"08MaKaB02m,4m","2,4",,,,
2,2008,Maui,Kanahena Point,7/31/2008,"08MaKaP03m,10m","3,10",,,,
2,2008,Maui,Kahekili,7/2/2008,08MaKah03m,3,,,,
2,2008,Maui,Kahekili,,08MaKah10m,10,no CSV,,,
2,2008,Maui,Ma‘alaea,10/13/2008,"08MaMaa03m,6m","3,6",,,,
3,2008,Maui,Papaula,8/1/2008,08MaPap03m,,no CSV,,,
3,2008,Maui,Puamana,9/4/2008,"08MaPua03m,13m","3,13",,,,
4,2008,Maui,Puamana,10/7/2008,08MaPua10m,3,no CSV,,,
4,2008,Maui,Ma‘alaea,10/13/2008,08MaMaa10m,10,no CSV,,,
4,2008,Maui,Mahinahina,11/17/2008,08MaMah03m,10,,,, 
4,2008,Maui,Mahinahina,11/17/2008,08MaMah10m,10,,,,
4,2008,Maui,Molokini,11/25/2008,08MaMol03m,3,,,,
4,2008,Maui,Molokini,11/25/2008,08MaMol10m,10,,,,
4,2008,Maui,Olowalu,10/7/2008,08MaOlo07m,7,,,,
4,2008,Maui,Olowalu,7/31/2008,08MaOlo03m,3,,,,
4,2008,Maui,Papaula,10/21/2008,"08MaPap04m,10m","4,10",,,,
,,,,,,,,,,
5,2009,Kaua‘i,Hanalei,9/1/2009,09KaHan03m,3,,,,
5,2009,Kaua‘i,Hanalei,9/1/2009,09KaHan08m,8,,,,
5,2009,Kaua‘i,Limahuli,9/2/2009,09KaLim10m,10,,,,
5,2009,O‘ahu,Hanauma,12/8/2009,"09OaHan03m,08m","3,8",,,,
5,2009,Maui,Olowalu,7/22/2009,09MaOlo07m,7,,,,
5,2009,Maui,Olowalu,7/17/2009,09MaOlo03m,3,,,,
5,2009,Maui,Papaula,7/24/2009,09MaPap04m,4,,,,
5,2009,Maui,Papaula,7/24/2009,09MaPap10m,10,,,,
5,2009,Maui,Puamana,7/17/2009,09MaPua03m,3,,,,
5,2009,Maui,Puamana,7/22/2009,09MaPua13m,13,,,,
,,,,,,,,,,
6,2010,Moloka‘i,Kamalo,7/6/2010,10MoKmo03m,3,,,,
6,2010,Moloka‘i,Kamalo,7/6/2010,10MoKmo10m,10,,,,
6,2010,Moloka‘i,Kamiloloa,7/7/2010,10MoKma03m,3,,,,
6,2010,Moloka‘i,Kamiloloa,7/7/2010,10MoKma10m,10,,,,
6,2010,Moloka‘i,Pala‘au,7/8/2010,10MoPal03m,3,,,,
6,2010,Moloka‘i,Pala‘au,7/8/2010,10MoPal10m,10,,,,
,,,,,,,,,,
7,2009,Maui,Kanahena Point,7/14/2009,"09MaKaP03m,10m","3,10",,,,
7,2009,Maui,Kanahena Bay,,09MaKaB03m,3,,,,
7,2009,Maui,Ma'alaea,7/10/2009,09MaMaa03m,3,,,,
7,2009,Maui,Ma'alaea,7/10/2009,09MaMaa06m,6,,,,
7,2009,Maui,Kahekili,7/16/2009,09MaKah03m,3,,,,
7,2009,Maui,Kahekili,7/16/2009,09MaKah07m,7,,,,
7,2009,Maui,Mahinahina,,09MaMah03m,3,,,,
7,2009,Maui,Mahinahina,,09MaMah10m,10,,,,
7,2009,Maui,Molokini,7/13/2009,09MaMol08m,8,,,,
7,2009,Maui,Molokini,7/13/2009,09MaMol13m,13,,,,
7,2009,Maui,Honolua South,7/9/2009,09MaHoN03m,3,,,,
7,2009,Maui,Honolua North,7/9/2009,09MaHoS03m,3,,,,
,,,,,,,,,,
8,2010,O‘ahu,Pili o Kahi,7/13/2010,10OaKpi03m,3,,,,
8,2010,O'ahu,Ala Wai,3/8/2010,10OaAla03m,3,,,,
8,2010,O‘ahu,Kahe Point,7/13/2010,10OaKpo03m,3,,,,
8,2010,Hawai‘i,La‘aloa,3/31/2010,10HaLaa03m,3,,,,
8,2010,Hawai‘i,Nenue,3/31/2010,10Nen10m,10,,,,
8,2010,Hawai‘i,Nenue,3/30/2010,10Nen05m,5,,,,
8,2010,Hawai‘i,La‘aloa,3/29/2010,10Laa10m,10,,,,
8,2010,Hawai‘i,Pelekane,11/2/2010,10HaPel,2,,,,
